"ENTITY_ID","OBJ_ID","VER_NBR","ACTV_IND"
"KC10079","D5A1CCE2746FAC6EE040DC0A1F8A32D6",1,"Y"
"KC10080","D5A1CCE27471AC6EE040DC0A1F8A32D6",1,"Y"
"KC10081","D5A1CCE27473AC6EE040DC0A1F8A32D6",1,"Y"
"KC10082","D5A1CCE27475AC6EE040DC0A1F8A32D6",1,"Y"
"KC10083","D5A1CCE278B5AC6EE040DC0A1F8A32D6",1,"Y"
"KC10084","D5A1CCE278C9AC6EE040DC0A1F8A32D6",1,"Y"
"KC10085","D5A1CCE278DFAC6EE040DC0A1F8A32D6",1,"Y"
"KC10086","D5A1CCE278EBAC6EE040DC0A1F8A32D6",1,"Y"
"KC10087","D5A1CCE278F4AC6EE040DC0A1F8A32D6",1,"Y"
"KC10088","D5A1CCE27914AC6EE040DC0A1F8A32D6",1,"Y"
"KC10089","D5A1CCE2791CAC6EE040DC0A1F8A32D6",1,"Y"
"KC10090","D5A1CCE27923AC6EE040DC0A1F8A32D6",1,"Y"
"KC10091","D5A1CCE27929AC6EE040DC0A1F8A32D6",1,"Y"
"KC10092","D5A1CCE27930AC6EE040DC0A1F8A32D6",1,"Y"
"KC10093","D5A1CCE27936AC6EE040DC0A1F8A32D6",1,"Y"
"KC10094","D5A1CCE2793CAC6EE040DC0A1F8A32D6",1,"Y"
"KC1132","B6A9051D48B5F9D0E040DC0A1F8A1D56",1,"Y"
