"KIM_ATTR_DEFN_ID","OBJ_ID","VER_NBR","NM","LBL","ACTV_IND","NMSPC_CD","CMPNT_NM"
"47","AA3F29ECA65F77DAE040DC0A1F8A01CC","1","unitNumber","Unit Number","Y","KC-SYS","org.kuali.kra.kim.bo.KcKimAttributes"
"48","AA3F29ECA66077DAE040DC0A1F8A01CC","1","subunits","Descend Flag","Y","KC-SYS","org.kuali.kra.kim.bo.KcKimAttributes"
"49","AA3F29ECA66177DAE040DC0A1F8A01CC","1","sectionName","Section Name","Y","KC-SYS","org.kuali.kra.kim.bo.KcKimAttributes"
"50","AA3F29ECA66277DAE040DC0A1F8A01CC","1","documentAction","Document Action","Y","KC-SYS","org.kuali.kra.kim.bo.KcKimAttributes"
"51","AA3F29ECA66377DAE040DC0A1F8A01CC","1","proposal","Proposal Number","Y","KC-SYS","org.kuali.kra.kim.bo.KcKimAttributes"
"52","AA3F29ECA66477DAE040DC0A1F8A01CC","1","protocol","Protocol Number","Y","KC-SYS","org.kuali.kra.kim.bo.KcKimAttributes"
"53","AA3F29ECA66577DAE040DC0A1F8A01CC","1","committee","Committee Number","Y","KC-SYS","org.kuali.kra.kim.bo.KcKimAttributes"
"54","AA3F29ECA66677DAE040DC0A1F8A01CC","1","award","Award Number","Y","KC-SYS","org.kuali.kra.kim.bo.KcKimAttributes"
"55","AA3F29ECA66777DAE040DC0A1F8A01CC","1","timeandmoney","TimeAndMoney Number","Y","KC-SYS","org.kuali.kra.kim.bo.KcKimAttributes"
