"FUNC_PARM_ID","NM","DESC_TXT","TYP","FUNC_ID","SEQ_NO"
"KC0066","unit number to check",NULL,"java.lang.Object","KC1040",2
"KC0067","DevelopmentProposal",NULL,"org.kuali.kra.proposaldevelopment.bo.DevelopmentProposal","KC1041",1
"KC0068","rr form names",NULL,"java.lang.Object","KC1041",2
"KC0069","phs form names",NULL,"java.lang.Object","KC1041",3
"KC0070","DevelopmentProposal",NULL,"org.kuali.kra.proposaldevelopment.bo.DevelopmentProposal","KC1042",1
"KC0071","DevelopmentProposal",NULL,"org.kuali.kra.proposaldevelopment.bo.DevelopmentProposal","KC1043",1
"KC0072","DevelopmentProposal",NULL,"org.kuali.kra.proposaldevelopment.bo.DevelopmentProposal","KC1044",1
"KC0073","PHS Cover letters",NULL,"java.lang.Object","KC1044",2
"KC0074","narrative type code",NULL,"java.lang.Object","KC1044",3
"KC0075","DevelopmentProposal",NULL,"org.kuali.kra.proposaldevelopment.bo.DevelopmentProposal","KC1045",1
"KC0076","DevelopmentProposal",NULL,"org.kuali.kra.proposaldevelopment.bo.DevelopmentProposal","KC1046",1
"KC0077","version number",NULL,"java.lang.Object","KC1046",2
"KC0078","cost element",NULL,"java.lang.Object","KC1046",3
"KC0079","DevelopmentProposal",NULL,"org.kuali.kra.proposaldevelopment.bo.DevelopmentProposal","KC1047",1
"KC0090","Narrative Type Code","Narrative Type Code","java.lang.String","KC1043",1
"KC0095","IrbProtocol","Irb Protocol BO","org.kuali.kra.protocol.ProtocolBase","KC1049",1
"KC0096","IrbProtocol","Irb Protocol BO","org.kuali.kra.protocol.ProtocolBase","KC1050",1
"KC0097","IrbProtocol","Irb Protocol BO","org.kuali.kra.protocol.ProtocolBase","KC1051",1
"KC0098","Unit number","Unit number","java.lang.String","KC1051",2
"KC0099","IrbProtocol","Irb Protocol BO","org.kuali.kra.protocol.ProtocolBase","KC1052",1
"KC0100","Organization Id","Organization Id","java.lang.String","KC1052",2
"KC0101","IrbProtocol","Irb Protocol BO","org.kuali.kra.protocol.ProtocolBase","KC1053",1
"KC0102","Sponsor Code","Sponsor Code","java.lang.String","KC1053",2
"KC0103","IrbProtocol","Irb Protocol BO","org.kuali.kra.protocol.ProtocolBase","KC1054",1
"KC0104","Unit number","Unit number","java.lang.String","KC1054",2
"KC0105","IrbProtocol","Irb Protocol BO","org.kuali.kra.protocol.ProtocolBase","KC1055",1
"KC0106","Area of research code","Area of research code","java.lang.String","KC1055",2
"KC0107","IrbProtocol","Irb Protocol BO","org.kuali.kra.protocol.ProtocolBase","KC1056",1
"KC0108","User Id","User Id","java.lang.String","KC1056",2
"KC0109","IrbProtocol","Irb Protocol BO","org.kuali.kra.protocol.ProtocolBase","KC1057",1
"KC0110","Campus code","Campus code","java.lang.String","KC1057",2
"KC0111","IrbProtocol","Irb Protocol BO","org.kuali.kra.protocol.ProtocolBase","KC1058",1
"KC0112","Document type code","Document type code","java.lang.String","KC1058",2
"KC0113","IrbProtocol","Irb Protocol BO","org.kuali.kra.protocol.ProtocolBase","KC1059",1
"KC0114","Submission type code","Submission type code","java.lang.String","KC1059",2
"KC0115","IrbProtocol","Irb Protocol BO","org.kuali.kra.protocol.ProtocolBase","KC1060",1
"KC0116","Submission number","Submission number","java.lang.Integer","KC1060",2
"KC0117","Submission qualifier type code","Submission qualifier type code","java.lang.String","KC1060",3
